# Namespace(base_learning_rate=0.1, batch_size=128, cudnn_workspace_limit_mb=64, db_type='minidb', epoch_size=49920, file_store_path='./models', gpus=None, image_size=32, load_model_path=None, num_channels=3, num_epochs=100, num_gpus=1, num_labels=10, num_shards=1, redis_host=None, redis_port=6379, run_id=None, save_model_name='mobilenet', shard_id=0, test_data='/data/cifar10/test_minidb', train_data='/data/cifar10/train_minidb', weight_decay=0.0001)
time_spent,cumulative_time_spent,input_count,cumulative_input_count,cumulative_batch_count,inputs_per_sec,accuracy,epoch,learning_rate,loss,test_accuracy
1033.52569699,1033.525702,0,0,389,0.0,0.609375,0,0.10000000149,1.1388425827,0.567421875
1027.57396412,2061.09966707,49920,49920,779,48.5804445647,0.734375,1,0.10000000149,0.880010426044,0.677734375
1027.45164394,3088.55131102,49920,99840,1169,48.5862281639,0.75,2,0.10000000149,0.729432523251,0.743125
1027.13634109,4115.68765187,49920,149760,1559,48.6011428111,0.84375,3,0.10000000149,0.539079368114,0.778125
1027.33735299,5143.02500606,49920,199680,1949,48.5916333663,0.78125,4,0.10000000149,0.5694835186,0.797734375
1027.4314959,6170.45650196,49920,249600,2339,48.5871809449,0.8046875,5,0.10000000149,0.635324418545,0.81203125
1027.29950309,7197.75600505,49920,299520,2729,48.5934236802,0.796875,6,0.10000000149,0.579623222351,0.815703125
1027.48228812,8225.23829389,49920,349440,3119,48.5847791024,0.890625,7,0.10000000149,0.297050774097,0.821328125
1028.26517892,9253.503474,49920,399360,3509,48.5477880837,0.9140625,8,0.10000000149,0.268039166927,0.8275
1028.80480504,10282.30828,49920,449280,3899,48.5223239194,0.90625,9,0.10000000149,0.265437066555,0.825625
1027.29585004,11309.604131,49920,499200,4289,48.5935964777,0.9140625,10,0.10000000149,0.221606045961,0.829609375
1027.16978002,12336.773911,49920,549120,4679,48.5995606288,0.9453125,11,0.10000000149,0.230693042278,0.8309375
1027.16558409,13363.939497,49920,599040,5069,48.599759156,0.953125,12,0.10000000149,0.140952125192,0.841875
1027.329813,14391.269311,49920,648960,5459,48.5919899998,0.9140625,13,0.10000000149,0.26866966486,0.835078125
1028.51764107,15419.7869539,49920,698880,5849,48.5358714394,0.9140625,14,0.10000000149,0.242681369185,0.834765625
1028.81116199,16448.5981159,49920,748800,6239,48.5220241032,0.90625,15,0.10000000149,0.231651708484,0.846875
1028.43269205,17477.0308089,49920,798720,6629,48.5398805248,0.953125,16,0.10000000149,0.142028152943,0.841484375
1028.70404911,18505.734858,49920,848640,7019,48.5270764154,0.9296875,17,0.10000000149,0.143396839499,0.84359375
1028.79775786,19534.5326159,49920,898560,7409,48.5226562932,0.9609375,18,0.10000000149,0.108626529574,0.84484375
